store_id,uptime_last_hour(minutes),uptime_last_day(hours),uptime_last_week(hours),downtime_last_hour(minutes),downtime_last_day(hours),downtime_last_week(hours)
85496058573776375,60.0,10.00,85.00,0.0,0.0,0.0
4285890795849559187,60.0,12.98,88.90,0.0,0.0,0.0
3981100817087735334,60.0,10.75,88.50,0.0,0.0,0.0
8588363503810828914,60.0,10.00,69.50,0.0,0.0,0.0
1054594275499808502,59.95,22.42,160.14,0.05,1.58,7.86
5912314869414264686,59.95,11.42,81.42,0.05,0.58,2.58
3900231063921710249,60.0,13.48,83.90,0.0,0.0,0.0
7822589231986895187,60.0,7.00,100.00,0.0,0.0,0.0
7978715379806134499,60.0,14.50,111.00,0.0,0.0,0.0
4439758315040000214,59.95,11.42,81.42,0.05,0.58,2.58
8236634095009962883,59.93,22.42,160.08,0.07,1.58,7.92
5382027116373588252,59.93,16.00,114.17,0.07,1.0,4.83
5781750567141978202,59.93,22.08,158.92,0.07,1.92,9.08
5822040121218888447,60.0,10.50,71.50,0.0,0.0,0.0
7592159121925764709,60.0,15.48,108.38,0.0,0.0,0.0
7828565466095434540,59.93,10.25,73.50,0.07,0.75,3.5
4295452900639223090,59.92,10.25,73.50,0.08,0.75,3.5
4993098645975694261,59.92,7.09,81.58,0.08,0.58,4.75
2274665995922217174,59.92,22.08,158.92,0.08,1.92,9.08
3002532786277264072,59.92,9.83,72.50,0.08,0.67,3.0
6901805242176251363,59.92,10.33,90.08,0.08,0.67,3.92
4200492189112894632,59.9,8.33,59.67,0.1,0.67,3.33
7685618175657140561,59.9,9.83,70.42,0.1,0.67,3.08
6739436342147730252,59.9,22.42,160.13,0.1,1.58,7.87
5072643523473628693,60.0,10.00,69.50,0.0,0.0,0.0
6095660339349215199,59.88,10.33,90.16,0.12,0.67,3.84
8911717438542903301,59.88,10.33,90.08,0.12,0.67,3.92
6901126760053929802,60.0,24.00,168.00,0.0,0.0,0.0
6225374753514601496,60.0,9.50,66.50,0.0,0.0,0.0
3037045825383010539,60.0,24.00,168.00,0.0,0.0,0.0
8493576081465975431,59.88,18.83,133.89,0.12,1.17,6.11
5735329199688542175,60.0,3.67,26.92,0.0,0.33,1.08
2970450527428041505,59.87,4.66,59.33,0.13,0.34,1.67
7061709061116506266,60.0,12.98,88.90,0.0,0.0,0.0
7666371756072779192,59.87,22.08,159.00,0.13,1.92,9.0
2364333062968217177,59.87,10.33,90.16,0.13,0.67,3.84
4947206633794280564,60.0,11.00,92.00,0.0,0.0,0.0
2648464785159803463,60.0,6.50,45.50,0.0,0.0,0.0
8906821378598719558,59.85,4.66,59.25,0.15,0.34,1.75
3343213184730203867,60.0,12.00,84.00,0.0,0.0,0.0
267283574377882519,60.0,16.25,113.75,0.0,0.0,0.0
8470714152989033556,60.0,10.00,71.00,0.0,0.0,0.0
219481587825507923,60.0,10.00,71.00,0.0,0.0,0.0
3666676318593941536,59.85,8.58,61.25,0.15,0.42,1.75
3248607562249061554,60.0,14.50,97.50,0.0,0.0,0.0
6018065859289285202,59.83,12.25,87.50,0.17,0.75,3.5
3063955310568742423,60.0,8.00,88.00,0.0,0.0,0.0
146650035412498370,60.0,10.00,71.00,0.0,0.0,0.0
6813251280996811732,60.0,11.50,80.50,0.0,0.0,0.0
3766537101981078077,59.83,7.83,55.83,0.17,0.67,3.67
2880740642542319726,60.0,8.75,76.50,0.0,0.0,0.0
8745703118699712393,60.0,10.50,87.50,0.0,0.0,0.0
3472645098144397838,60.0,17.00,108.00,0.0,0.0,0.0
7991676056369309319,60.0,16.25,113.75,0.0,0.0,0.0
185099711074799014,60.0,15.00,107.00,0.0,0.0,0.0
6338979255553850288,60.0,7.00,47.00,0.0,0.0,0.0
2884126734815245596,60.0,12.00,84.00,0.0,0.0,0.0
7240128780261624241,60.0,10.00,72.00,0.0,0.0,0.0
8915497710891717822,60.0,15.50,108.50,0.0,0.0,0.0
3190076474738026756,59.82,9.33,66.91,0.18,0.67,3.09
750270952748783600,60.0,4.75,41.92,0.0,0.25,1.08
5417111477080634541,60.0,11.25,80.25,0.0,0.0,0.0
6679610164581485748,60.0,24.00,168.00,0.0,0.0,0.0
7912408793589673569,59.8,9.33,66.91,0.2,0.67,3.09
4684536882501631271,59.8,22.08,82.16,0.2,1.92,3.84
1512115633539059868,60.0,4.50,31.50,0.0,0.0,0.0
2205843128130078127,59.8,9.33,67.00,0.2,0.67,3.0
5281145666427062582,60.0,9.75,58.50,0.0,0.0,0.0
119519432107012204,60.0,11.50,80.50,0.0,0.0,0.0
911629797654781918,60.0,9.50,66.50,0.0,0.0,0.0
1019604210961591619,60.0,7.00,70.00,0.0,0.0,0.0
1027940035533410279,60.0,10.00,72.00,0.0,0.0,0.0
1224917601667833196,60.0,23.98,167.88,0.0,0.0,0.0
6909949213476034361,60.0,9.67,77.97,0.0,0.0,0.0
5075801286901382975,59.78,7.41,68.91,0.22,0.59,3.09
1749934803604450894,60.0,11.00,90.00,0.0,0.0,0.0
1301152589759749638,59.77,22.08,82.16,0.23,1.92,3.84
247090130107873031,59.77,22.50,37.08,0.23,1.5,1.92
1642580366459568561,60.0,10.00,71.00,0.0,0.0,0.0
8810766737254234682,59.75,18.75,133.81,0.25,1.25,6.19
8551131943681265060,59.75,15.98,114.04,0.25,1.0,4.84
5152078166651419409,60.0,11.50,71.08,0.0,0.0,0.0
5303602829240997549,60.0,13.75,88.25,0.0,0.0,0.0
1627693942699070127,60.0,24.00,168.00,0.0,0.0,0.0
7489983233589139014,60.0,24.00,168.00,0.0,0.0,0.0
6664691726079452557,60.0,4.67,52.83,0.0,0.33,1.17
3173335486294302822,60.0,9.00,63.00,0.0,0.0,0.0
8755549089043216125,58.97,18.45,135.02,1.03,2.05,8.48
156728906253552292,60.0,5.00,54.00,0.0,0.0,0.0
2667475460112720223,60.0,13.00,87.00,0.0,0.0,0.0
2594173285337178606,60.0,8.50,78.50,0.0,0.0,0.0
2408018667466303619,59.67,22.08,158.91,0.33,1.92,9.09
9148401543054248385,60.0,11.08,95.39,0.0,0.42,1.58
5445551834603735875,60.0,11.00,79.00,0.0,0.0,0.0
3871342332526523326,60.0,16.50,115.50,0.0,0.0,0.0
2923344161702449024,59.67,15.47,82.26,0.33,1.01,3.92
6026311558591049548,59.67,11.33,80.91,0.33,0.67,3.09
2132672654783243680,60.0,11.75,89.50,0.0,0.0,0.0
6195843357307242243,59.65,11.58,82.33,0.35,0.42,1.67
2980908745974411802,60.0,9.00,78.00,0.0,0.0,0.0
2130599665961645995,60.0,10.00,68.00,0.0,0.0,0.0
8387507186131968018,60.0,6.50,65.00,0.0,0.0,0.0
8443631435744226735,60.0,11.75,81.25,0.0,0.0,0.0
3611582295813924315,60.0,15.00,95.98,0.0,0.0,0.0
4621819568737315649,59.65,18.74,133.74,0.35,1.26,6.26
134586904582732400,60.0,9.23,82.93,0.0,0.5,2.25
7417687170287376127,59.63,8.49,60.83,0.37,0.51,2.17
2281235811578479437,60.0,24.00,93.50,0.0,0.0,0.0
3998797152041722629,59.63,22.49,31.08,0.37,1.51,1.92
141479961267451253,59.63,22.08,82.58,0.37,1.92,3.92
3666495816133635518,60.0,24.00,168.00,0.0,0.0,0.0
5518307397464668911,60.0,12.25,85.75,0.0,0.0,0.0
6470083077479247430,60.0,8.75,97.75,0.0,0.0,0.0
6220958402265930594,60.0,8.25,88.83,0.0,0.0,0.42
4395409588231987675,60.0,16.00,112.00,0.0,0.0,0.0
4512447604653287409,59.62,10.08,83.97,0.38,0.67,4.53
8740897568277048640,60.0,11.06,79.13,0.0,0.67,3.0
